1254,ランダム番号,年号補助,和暦,人物２,人物３,人物,抽出ワード,歴史カード,Timestamp,項目,メモ,本
,1184,1883,,,大阪紡績会社,,渋沢栄一,日本,,,,
,397,1884,,,サロン・デ・ザンデパンダン創設,,スーラ、シャニック,文化　美術,,,,
,695,1884,,,ディスレキシア報告,,ドイツの眼科医ルドルフ・ベルリン,精神医学,,,,
,1029,1884,,,鑑画会,,フェノロサ,日本　文化　美術,,,,
,1365,1884,,,空也　創業,上野池之端→並木通りＳ24,,日本　文化　食　菓子,,,,
,1718,1884,,,ベトナムがフランスの植民地化,,,,,,,
,1934,1884,,,マキシム機関銃開発,,,ヨーロッパ,,,,
,1951,1884,～1885,,ベルリン会議,,,ヨーロッパ,,,,
,1959,1884,,,グリニッジ標準時のワシントン会議,25ヶ国,,,,,,
,398,1885,,,SN1885A,アンドロメダ座S星,,科学　宇宙,,,,
,399,1885,,,天津条約,朝鮮出兵の事前通告,伊藤博文　李鴻章,日本　朝鮮　中国,,,,
,684,1885,,,「ミカド」,,ギルバート＆サリバン,イギリス,,,,
,1409,1885,,,芝明神栄太楼創業,東京都港区,,日本　文化　食　菓子,,,,
,1531,1885,,,日本の内閣制度,,,日本,,,,
,400,1886,,,「グランド・ジャット島の日曜日の午後」（1884～）,,スーラ,文化　美術,,,,
,402,1886,,,国際音声学会創立,ＩＰＡ,,言語,,,,
,403,1886,,,第8回印象派展,最後の印象派展　新しい運動の出発点,,文化　美術,,,,
,718,1886,,,ヨハネスブルグで金鉱発見,,,,,,,
,1577,1886,,,リッジウェイが王室御用達,,,イギリス　文化　食　ヨーロッパ,,,,
,1580,1886,,,フォション開店,パリ,,フランス　文化　食　ヨーロッパ,,,,
,1712,1886,,,「ユダヤ的フランス」,,E・ドリュモン,宗教,,,,
,404,1887,,,仏領インドシナ,,,フランス,,,,
,950,1887,,,「国民之友」,,,日本,,,,
,405,1888,,,「タリスマン」,ナビ派,ポール・セリュジエ,文化　美術,,,,
,607,1888,,,「アルルの洗濯女」,クロアソニスム,ゴーギャン,美術　絵画,,,,
,1028,1888,,,「慈母観音」,,狩野芳崖,日本　文化　美術,,,,
,1137,1888,,,イングランド・フットボール・リーグ,,,ヨーロッパ　イギリス　文化　スポーツ,,,,
,1526,1888,,,手工業ギルト・学校,,アシュビー,イギリス,,,,
,1698,1888,,,ウィルヘルム２世が即位,,,ドイツ,,,,
,1909,1888,,,フィナンシャルタイムズ創刊,,,イギリス　ヨーロッパ　文化,,,,
,1960,1888,,,グリニッジ標準時を日本採用,,,,,,,
,406,1889,,,大日本帝国憲法,,,日本,中学,,,
,407,1889,,,印象主義および綜合主義のグループ展,ポン・タヴェン派,ゴーギャン,文化　美術,,,,
,408,1889,,,第２インターナショナル,,,,,,,
,608,1889,,,「印象主義および総合主義グループの絵画」展,,ゴーギャンとエミール・シュフェネッケル,美術　絵画,,,,
,734,1889,,明治22,坂角総本舖創業,愛知県東海市,坂 角次郎,文化　食　日本,,,,
,1486,1889,,,ムーランルージュ,,,ヨーロッパ　フランス　文化,,,,
,1488,1889,,,ガレがパリ万博がグランプリ,,,文化　工芸　フランス,,,,
,409,1890,,,帝国議会,,,日本,中学,,,
,410,1890,,,ゴッホ自殺する,,ゴッホ,文化　美術,,,,
,628,1890,,,リプトン茶園,ウバ地区,トーマス・リプトン,分化　食　イギリス,,,,
,1325,1890,,,琵琶湖疏水,,,日本,,,,
,1394,1890,,,エルトゥールル号の救助,トルコ,,日本　アジア,,,,
,1731,1890,,,血清療法,,,,,,,
,411,1891,,,象徴主義および印象主義のグループ展,ナビ派,,文化　美術,,,,
,1916,1892,,,「髪を結う女」,,ポール・シニャック,文化　美術,,,,
,412,1893,,,「叫び」,,ムンク,文化　美術,,,,
,413,1893,,,「新世界から」,,ドボルザーク,文化　音楽　チェコ,,,,
,414,1894,～1895,,日清戦争,,,日本　アジア,中学,,,
,415,1894,,,「牧神の午後への前奏曲」,印象主義音楽の幕開け,ドビュッシー,文化　音楽　フランス,,,,
,417,1894,,,甲午農民戦争,東学党の乱,,日本　朝鮮　中国　韓国,中学,,,
,418,1894,,,治外法権の撤廃,,,日本,中学,,,
,1196,1894,,,仙台：小西染物鋪,,,仙台,,,,
,1524,1894,,,「塩酸をかける女」,,ウジェーヌ・グラッセ,ヨーロッパ　文化　美術,,,,
,1819,1894,,,タワーブリッジ,,,イギリス　文化,,,,
,419,1895,,,三国干渉,,,日本　アジア,中学,,,
,420,1895,,,明成皇后暗殺,,,朝鮮,,,,
,1030,1895,,,「龍虎図屏風」,,橋本雅邦,日本　文化　美術,,,,
,1416,1895,,,ホレンディッシェ･カカオシュトゥーベ,,,文化　食　ヨーロッパ,,,,
,1487,1895,,,「ジスモンダ」,,ミュシャ,文化　絵画　ヨーロッパ　フランス,,,,
,1492,1895,,,第1回ヴェネチア・ビエンナーレ,,,文化　ヨーロッパ,,,,
,1523,1895,,,「ジスモンダ」,,ミュシャ,ヨーロッパ　文化　美術,,,,
,1569,1895,,,リプトンが英国王室御用達,,トーマス・リプトン,イギリス　文化　食,,,,
,1697,1895,12月28日,,パリで映画の有料公開,リュミエール兄弟,,フランス　文化,,,,
,421,1896,,,「ツァラトゥストラはかく語りき」,,りヒャルト・シュトラウス,文化　音楽　ドイツ,,,,
,694,1896,,,発達性ディスレキシア研究,先天性語盲,イギリス人のMorgan,精神医学,,,,
,1584,1896,,,無鄰庵,,小川治兵衛,日本　文化,,,,
,422,1897,,,大韓帝国,,,朝鮮,,,,
,423,1897,,,電子の発見,,ジョセフ･ジョン･トムソン,科学,,,,
,424,1898,,,エリザベート暗殺,,,ハプルブルク,,,,
,425,1898,,,パリ最後の私立「授乳斡旋会社：閉鎖,,,フランス,,,,
,426,1898,,,戊戌の変法,,,中国,,,,
,1033,1898,,,「屈原」,,横山大観,日本　文化　美術,,,,
,1136,1898,,,”フーリガン”という言葉が使われる,,,ヨーロッパ　イギリス,,,,
,1451,1898,,,能登の総持寺火災,,,日本　文化　宗教,,,,
,427,1899,,,義和団事件,,,日本　アジア,中学,,,
,428,1899,,,大韓帝国に憲法,,,朝鮮,,,,
,1363,1899,,,赤坂　青野,菓子,,日本　文化　食,,,,
,1690,1899,,,ボーア戦争,,,,,,,
,1692,1899,5月,,ハーグ平和会議,,,,,,,
,1889,1899,,,ビヤホール,,,,,,,
,429,1900,,,「フィンランディア」,,シベリウス,文化　音楽,,,,
,712,1900,,,文明堂創業（長崎）,,中川安五郎,文化　食　日本,,,,
,1393,1900,,,「セザンヌ礼賛」,,ドニ,文化　絵画,,,,
,1489,1900,,,ガレがパリ万博がグランプリ,,,文化　工芸　フランス,,,,
,1521,1900,,,パリ万国博,ビング館　フールの室内装飾,ジョルジュ・ド・フール,ヨーロッパ,,,,
,1905,1900,,,野口英世がアメリカへ,,,日本　科学　医学,,,,
,430,1901,,,八幡製鉄所が生産を始める,,,日本,中学,,,
,431,1901,,,「ユーディット」,,クリムト,文化　美術,,,,
,432,1901,,,結社法,,,フランス,,,,
,907,1901,,明治34年,最初の「告別式」,,中江兆民,日本　宗教,,,,
,1525,1901,,,ナンシー派,ガラス工芸,ガレ会長,ヨーロッパ　文化　美術,,,,
,1527,1901,,,ブティック・フーケ開店,,,フランス,,,,
,1611,1901,,,みだれ髪,,与謝野晶子,日本　文化,,,,
,433,1902,,,日英同盟,,,日本　イギリス,中学,,,
,1192,1902,,,仙台・お茶の「大正園」,,,仙台,,,,
,1570,1902,,,リプトンにナイトの称号,,トーマス・リプトン,イギリス　文化　食,,,,
,1693,1902,,,フェレーニヒング和平条約,ボーア戦争,,,,,,
,1696,1902,,,日英同盟,,,日本　イギリス,,,,
,1175,1903,,,早慶戦,,,日本,,,,
,1327,1903,,,九代目　市川 團十郞　死去,,,日本　文化,,,,
,1328,1903,,,五代目　尾上菊五郎　死去,,,日本　文化,,,,
,435,1904,～1905,,日露戦争,,,日本,中学,,,
,436,1904,,,「考える人」（1902～）,,ロダン,文化　美術,,,,
,437,1904,,,FIFA発足,,,文化　スポーツ,,,,
,629,1904,,,セントルイス万国博覧会,アイスティー,,分化　食　アメリカ,,,,
,1947,1904,,,国定教科書の使用開始,,,日本,,,,
,438,1905,,,「女性大水浴図」（1898～）,,セザンヌ,文化　美術,,,,
,439,1905,1903～,,「海」,,ドビュッシー,文化　音楽　フランス,,,,
,440,1905,,,日本が竹島を編入,,,朝鮮,,,,
,441,1905,,,特殊相対性理論,,アインシュタイン,科学,,,,
,647,1905,7月29日,,桂・タフト協定,朝鮮半島とフィリピンの支配権を確認,,日本　アジア　安全保障,,,,
,1890,1905,,,アントワープ駅,,,,,,,
,1035,1906,,,「木の間の秋」,,下村観山,日本　文化　美術,,,,
,1573,1906,,,日本に初めて紅茶が輸入される,,,日本　イギリス　文化　食,,,,
,442,1907,,,「アヴィニョンの娘たち」,,ピカソ,文化　美術,,,,
,1362,1907,,,深川　伊勢屋創業,菓子　焼団子,,日本　文化　食　菓子,,,,
,1532,1907,,,伊藤博文が憲法見直しを検討,,,日本,,,,
,443,1908,,,「レスタックの風景」,,ブラック,文化　美術,,,,
,444,1908,,,イランで石油発見,,,中東　イラン,,,,
,1704,1908,,,ロサンゼルスで初めて映画の撮影,,,,,,,
,1705,1908,,,エジソンが「映画特許会社」設立,,,,,,,
,445,1909,,,「スコーフィールド注釈付聖書」,前千年王国説,,アメリカ　宗教　キリスト教,,,,
,446,1909,,,「ダンス」,,マティス,文化　美術,,,,
,447,1909,,,「大地の歌」,,マーラー,文化　音楽,,,,
,448,1909,,,ミュンヘン新芸術家協会,,カンデンスキー,文化　絵画,,,,
,1032,1909,,,「アレ夕立ちに」,,竹内栖鳳,日本　文化　美術,,,,
,1038,1909,,,「落葉」,,菱田春草,日本　文化　美術,,,,
,1642,1909,,,奈良ホテル,,辰野金吾,日本　文化,,,,
,1701,1909,,,シャネルがパリにアトリエ,,,,,,,
,449,1910,,,韓国併合,,,日本　アジア　朝鮮,中学,,,
,1392,1910,,,シャガールがパリへ,,,文化　絵画,,,,
,1510,1910,,,「川中島合戦図（裏:龍虎墨竹図）」,,小林清親,日本　文化　美術,,,,
,1529,1910,,,「女」,,荻原碌山,文化　美術　日本,,,,
,1646,1910,,,チューリッヒ美術館,,,ヨーロッパ　文化　美術,,,,
,451,1911,,,辛亥革命,,,中国,中学,,,
,452,1911,,,関税自主権を回復,,,日本,中学,,,
,453,1911,,,「私と村」,,シャガール,文化　美術,,,,
,454,1911,,,「黄色い牝牛」,,マルク,文化　美術,,,,
,455,1911,,,原子核の発見,,ラザフォード,科学,,,,
,456,1911,,,青騎士展,,カンデンスキー,文化　絵画,,,,
,588,1911,,,IBM創業,,,技術,,,,
,682,1911,12月,,アムンセンが南極点に到達,,,ノルウェー,,,,
,1452,1911,,,総持寺が横浜市鶴見区へ,,,日本　文化　宗教,,,,
,1556,1911,,,日本が関税自主権回復,,,日本,,,,
,1961,1911,,,グリニッジ標準時をフランス採用,,,,,,,
,457,1912,,,第一次護憲運動,,,日本,中学,,,
,458,1912,,,「芸術における精神的なるもの」,,カンデンスキー,文化　絵画,,,,
,561,1912,,,通天閣完成,,,日本,,,,
,648,1912,,,ニューメキシコが州に,,,アメリカ,,,,
,680,1912,,,タイタニック号の沈没,,,アイルランド,,,,
,683,1912,1月,,スコット大尉が南極点に到達,,アムンセンの34日後,イギリス,,,,
,1458,1912,,,メジャーリークが初めてのスト,,タイカップ,アメリカ,,,,
,459,1913,,,「春の祭典」,,ストラヴィンスキー,文化　音楽,,,,
,460,1913,,,連邦準備制度,,,経済　アメリカ,,,,
,461,1913,,,電子軌道に関する仮説,,ニールス･ボーア,科学,,,,
,1684,1913,,,バーデンバーデンでの会議,小畑敏四郎　岡村寧次　永田鉄山,,日本,,,,
,1719,1913,,,NジャアンツとCホワイトソックスが来日,,,,,,,
,462,1914,～1918,,第一次世界大戦,,,,中学,,,
,668,1914,12月,,クリスマス休戦,,,イギリス　フランス,,,,
,1036,1914,,,「白弧」,,下村観山,日本　文化　美術,,,,
,1484,1914,,,桜島大正大噴火,,,,,,,
,1732,1914,,,北里研究所,,,日本,,,,
,1835,1914,～1916,,赤曜会,,今村紫紅　速水御舟,日本,,,,
,463,1915,,,二十一か条の要求,,,日本　アジア,中学,,,
,464,1915,,,「変身」,,カフカ,文化　文学,,,,
,465,1916,1914～,,「惑星」,,ホルスト,文化　音楽　イギリス,,,,
,1031,1916,,,「大江捕魚図」,,富岡鉄斎,日本　文化　美術,,,,
,1703,1916,,,「イントレランス」公開,,,,,,,
,466,1917,,,ロシア革命,,,ロシア,中学,,,
,467,1917,,,諜報活動取締法,,,アメリカ,,,,
,468,1917,,,陽子の発見,,ラザフォード,科学,,,,
,1281,1917,,,旧古河庭園が現在の形に,,小川治兵衛（植治）,日本　文化,,,,
,469,1918,,,原敬内閣,,,日本,中学,,,
,470,1918,,,米騒動,,,日本,中学,,,
,1722,1918,,,松下電気器具製作所設立,,,,,,,
,1839,1918,,,「焔」（ほのお）,,上村松園,日本　文化　美術,,,,
,1840,1918,,,「湯女図」（ゆなず）,,土田麦僊,日本　文化　美術,,,,
,471,1919,,,ベルサイユ条約,,,ヨーロッパ　ドイツ,中学,,,
,681,1919,～1921,,アイルランド独立戦争,,,イギリス,,,,
,1459,1919,,,ブラックソックス・スキャンダル,,ジョージャクソン,アメリカ,,,,
,1561,1920,,,「京の舞妓」,,速水御舟,日本　文化　美術,,,,
,1583,1920,,,HARIBO設立,ボン,,ドイツ　文化　食　ヨーロッパ,,,,
,1820,1920,,,「支那絹の前」,岡田三郎助,,日本　文化　美術,,,,
,1967,1920,2月,,国家社会主義ドイツ労働者党,,,ヨーロッパ　ドイツ,,,,
,1125,1921,,,アイルランド独立,,,イギリス,,,,
,1193,1921,,,仙台・お茶の「芭蕉園」,,,仙台,,,,
,1417,1921,,,恵信尼消息　発見,西本願寺宝物庫,,日本　文化　宗教,,,,
,1702,1921,,,シャネルが改めてパリにアトリエ,,,,,,,
,472,1922,,,全国水平社設立,,,日本　差別　水平社運動,,,,
,713,1922,,,東京文明堂創立（上野黒門町）,,安五郎の実弟宮﨑甚左衛門,文化　食　日本　菓子,,,,
,726,1922,,,ユーハイム夫妻が日本一号店開設,前年に横浜に会社設立,,文化　食　日本　菓子,,,,
,1838,1922,,,「楊貴妃」,,上村松園,日本　文化　美術,,,,
,473,1923,,,関東大震災,,,日本,中学,,,
,474,1923,,,レンテンマルク発効,,,ドイツ,,,,
,1188,1923,9月1日,,関東大震災,,,日本,,,,
,1371,1923,,,伊勢　虎屋ういろ,,,日本　文化　食,,,,
,1968,1923,,,パン・ヨーロッパ構想,,カレルギー,ヨーロッパ　ドイツ,,,,
,475,1924,,,第二次護憲運動,,,日本,中学,,,
,476,1924,,,カイロでクアルーンの印刷が許可される,,,中東　アラブ,,,,
,477,1924,,,長老派大会で５つの原則の格下げ,,,アメリカ　宗教　キリスト教,,,,
,1186,1924,,,新町浜作創業,,,日本　文化　食,,,,
,1707,1924,,,国共合作,,,中国,,,,
,478,1925,,,普通選挙法,加藤高明内閣,,日本,中学,,,
,479,1925,,,治安維持法,,,日本,中学,,,
,480,1925,,,スコープス裁判,,,アメリカ　宗教　キリスト教,,,,
,481,1925,,,全国融和連盟,,,日本　差別　融和運動,,,,
,1198,1925,,,仙台：熊谷楽器店,,,仙台,,,,
,1562,1925,,,「炎舞」,重要文化財,速水御舟,日本　文化　美術,,,,
,1713,1925,,,「偉大な人種の消滅」,,マディソン・グラント（米）,宗教,,,,
,1039,1926,,,「序の舞」,,上村松園,日本　文化　美術,,,,
,1408,1926,,,菓匠まつ井創業,石川県金沢市　加賀くるみ,,日本　文化　食　菓子,,,,
,1187,1927,12月30日,,地下鉄　上野・浅草間が開業,,,日本,,,,
,1190,1927,,,祇園浜作創業,,,日本　文化　食,,,,
,1708,1927,,,上海クーデター事件,,,中国,,,,
,1913,1927,,,中村屋喫茶部,,,日本　文化　食,,,,
,482,1928,,,スコットランドの史上最高の勝利,,,イギリス　サッカー,,,,
,483,1928,,,ムスリム同胞団設立,エジプト,ハサン・アルバンナー,中東　アラブ　イスラム,,,,
,1189,1928,,,浜作が東京移転,,,日本　文化　食,,,,
,1377,1928,,,ディラック方程式,,,科学,,,,
,1836,1928,,,「翠苔緑芝」,,速水御舟,日本　文化　美術,,,,
,484,1929,,,世界恐慌,,,,中学,,,
,1034,1929,,,「夜桜」,,横山大観,日本　文化　美術,,,,
,1082,1929,,,「洞窟の頼朝」,,前田青邨,日本　文化　美術,,,,
,1563,1929,,,「名樹散椿」,重要文化財,速水御舟,日本　文化　美術,,,,
,1636,1929,,,京都南座建設,,,日本　文化,,,,
,1837,1929,,,「名樹散椿」,,速水御舟,日本　文化　美術,,,,
,1862,1929,,,ムスリム同胞団結成,エジプト,,イスラム,,,,
,1969,1929,,,「ヨーロッパ連邦」樹立構想,,ブリアン,ヨーロッパ　フランス,,,,
,911,1930,,,「御殿女中」,,,日本,,,,
,1145,1930,,,「清姫」,院展の三羽烏,小林古径,日本　文化　美術,,,,
,486,1931,,,満州事変,,,日本　アジア,中学,,,
,711,1931,,,モロゾフ創立（神戸）,,,文化　食　日本　菓子,,,,
,1457,1931,,,「星条旗よ永遠なれ」が正式な国歌に,,,アメリカ,,,,
,1700,1931,,,イギリスの金本位制停止,,,,,,,
,487,1932,,,五・一五事件,,,日本,中学,,,
,488,1932,,,中性子の発見,,チャドウィック,科学,,,,
,489,1933,,,国際連盟を脱退,,,日本,中学,,,
,490,1933,,,ロンドン･ロスチャイルド家がムートン･ダイマルヤック買収,,フィリップ男爵,フランス　ワイン,,,,
,1364,1933,,,六花亭,,,日本　文化　食,,,,
,1597,1933,,,ダラス・スティーガル法,,,アメリカ　経済,,,,
,1966,1933,,,ナチスが総選挙で第１党に,,,ヨーロッパ　ドイツ,,,,
,491,1934,,,2月6日事件,,,フランス,,,,
,1081,1934,,,「愛染」,,川端龍子,日本　文化　美術,,,,
,1720,1934,,,ヤンキース来日,,,,,,,
,492,1936,,,二・二六事件,,,日本,中学,,,
,493,1936,9月,,ジム・ヘンソン生まれる,セサミ・ストリート,,文化　アメリカ,,,,
,494,1936,,,長老派大会で原理主義者を追放,,メイチェン,アメリカ　宗教　キリスト教,,,,
,933,1936,,,昭和11年帝国国防方針,,,日本,,,,
,1191,1936,,,仙台・西欧館,大東京海上火災仙台支店,,仙台,,,,
,1381,1936,,,「雇用・利子および貨幣の一般理論」,,ケインズ,経済,,,,
,1888,1936,,,日本民芸館,,,,,,,
,495,1937,,,日中戦争が始まる,,,日本　アジア,中学,,,
,496,1937,,,「ゲルニカ」,,ピカソ,文化　美術,,,,
,497,1938,,,国家総動員法,,,日本,中学,,,
,1411,1938,,,原美術館の建物,,渡辺仁,日本　文化,,,,
,1687,1938,,,国家総動員法,,,日本,,,,
,1157,1939,,,ヒスイが再発見される,,,日本,,,,
,1586,1939,,,東福寺　方丈庭園,,重森三玲,日本　文化,,,,
,498,1940,,,日独伊三国同盟,,,日本,中学,,,
,652,1940,,,宗教団体法,,,日本　宗教,,,,
,1037,1940,,,「彩雨」,,川合玉堂,日本　文化　美術,,,,
,1468,1940,,,宗教団体法,,,日本　文化　宗教,,,,
,1723,1940,,,ディズニー「ファンタジア」,,,,,,,
,499,1941,～1945,,太平洋戦争が始まる,,,日本,中学,,,
,500,1941,,,日ソ中立条約,,,日本,中学,,,
,501,1942,,,ＡＣＣＣ設立,アメリカ・キリスト教会評議会,マッキンタイアー,アメリカ　宗教　キリスト教,,,,
,502,1942,,,ＮＡＥ創設,全国福音派協会,,アメリカ　宗教　キリスト教,,,,
,688,1943,,,「情動的交流の自閉的障害」,,レオ・カナー,精神医学,,,,
,687,1944,,,「自閉症精神病質」,,ハンス・アスペルガー,精神医学,,,,
,1382,1944,,,「隷従への道」,,ハイエク,経済,,,,
,503,1945,,,選挙法改正,,,日本,中学,,,
,1407,1945,,,鼓月創業,京都府京都市　千寿せんべい,,日本　文化　食　菓子,,,,
,1883,1945,,,ロウソクの問題,,カール・ドゥンガー,科学,,,,
,504,1946,,,部落解放全国委員会,,,日本　差別　水平社運動,,,,
,1721,1946,,,東京通信工業設立,,,,,,,
見えない世界戦争,1897,1946,,,UKUSA合意,,,安全保障　アメリカ　イギリス,,,,
,1970,1946,,,「ヨーロッパ合衆国」建設を訴える,,チャーチル,ヨーロッパ　イギリス,,,,
,505,1947,,,プロイセンの消滅宣言,,,ドイツ,,,,
,1075,1947,～1956,,死海文書,,,宗教　キリスト教,,,,
,1360,1947,,,源吉兆庵創業,,,日本　文化　食,,,,
,1369,1947,,,銀座ウエスト　オープン,,,日本　文化　食　菓子,,,,
,1714,1947,3月,,トルーマン・ドクトリン,,,,,,,
,1716,1947,10月,,コミンフォルム,,,,,,,
,863,1948,,,ハングル専用法,公文書のハングル表記,,朝鮮　韓国,,,,
,1715,1948,,,欧州経済協力機構（OEEC),,,,,,,
,506,1949,,,中華人民共和国,,,中国,中学,,,
,1717,1949,1月,,経済相互援助会議（コメコン）,,,,,,,
,1949,1949,,,アイルランド独立,,,ヨーロッパ,,,,
,507,1950,～1953,,朝鮮戦争,,,日本　韓国,中学,,,
,1298,1950,,,「道」,,東山魁夷,日本　文化　美術,,,,
,1971,1950,5月9日,,ヨーロッパ・デイ,,,ヨーロッパ,,,,
,1980,1950,,,欧州人権条約,,,ヨーロッパ,,,,
,508,1951,,,サンフランシスコ平和条約,,,日本,中学,,,
,509,1951,,,難民の地位に関する条約,,,国連　人権,,,,
,510,1951,,,日米安全保障条約,,,日本　アメリカ,中学,,,
,1469,1951,,,宗教法人法,,,日本　文化　宗教,,,,
,1975,1951,,,欧州石炭鉄鋼共同体ECSC,,,ヨーロッパ,,,,
,705,1952,,,DSM－Ⅰ,,,精神医学,,,,
,1605,1952,,,ECSC,,,経済　政治　ヨーロッパ,,,,
,1662,1952,,,遺骨送還に関する閣議了解,,,日本,,,,
,1878,1953,,,報酬回路のラット実験,,オールズトミルナー,科学,,,,
,1663,1954,,,自衛隊創設,,,日本,,,,
,511,1955,,,部落解放同盟,,,日本　差別　水平社運動,,,,
,1465,1955,,,小樽問答,創価学会と日蓮宗,,日本　文化　宗教,,,,
,512,1956,,,国際連合に加入,,,日本,中学,,,
,513,1956,,,日ソ共同宣言,,,日本　ロシア,中学,,,
,604,1956,,,ジャクソン・ポロック事故死,,,美術　絵画,,,,
,693,1956,,,日ソ共同宣言,,,日本　ロシア　安全保障　国境,,,,
,514,1957,,,発展段階説,,クローサー,経済,,,,
,1370,1957,,,現ヨックモッククレア東京工場,足立区,,日本　文化　食,,,,
,1367,1958,9月,,叶 匠壽庵　創業,滋賀県大津市,,日本　文化　食,,,,
,1606,1958,,,ド・ゴールとアデナウアーが協力を宣言,,,経済　政治　ヨーロッパ,,,,
,1654,1958,,,遺族援護法,,,日本,,,,
,1972,1958,,,欧州経済共同体EEC,,,ヨーロッパ,,,,
,1655,1959,,,昭和殉難者合祀開始,,,日本,,,,
,1658,1959,,,元ＢＣ級戦犯合祀開始,,,日本,,,,
,1660,1959,,,千鳥ヶ淵戦没者墓苑,,,日本,,,,
,1724,1959,,,第二ヴァチカン会議,礼拝を土地の言葉で,,文化　宗教,,,,
,515,1960,,,全日本同和会,自民党系,,日本　差別　水平社運動,,,,
,516,1960,,,新しい日米安全保障条約,,,日本　アメリカ,中学,,,
,690,1960,,,グロムイコ声明,,,日本　ロシア　安全保障　国境,,,,
,723,1961,,,南アフリカ共和国,,,アフリカ,,,,
,1664,1962,,,自衛隊殉職者慰霊碑建立,,,日本,,,,
,517,1964,,,トンキン湾事件,,,アジア　アメリカ,,,,
,518,1965,,,日韓基本条約,,,日本　韓国,中学,,,
,1657,1965,,,靖国の鎮霊社創建,,,日本,,,,
,1871,1965,,,メディケア・メディケイド法,,,アメリカ,,,,
,710,1966,,,レット症候群の症例報告,,アンドレアス・レット,精神医学,,,,
,1659,1966,,,いわゆるＡ級戦犯の祭神名票を靖国神社へ送付,,,日本,,,,
,1880,1966,,,シナプス記憶,,レモ医師,科学,,,,
,519,1967,,,難民の地位に関する議定書,,,国連　人権,,,,
,1607,1967,,,EC,,,経済　政治　ヨーロッパ,,,,
,1973,1967,,,欧州共同体EC,,,ヨーロッパ,,,,
,1675,1968,,,ICA　原則30年で公文書を公開すべし,,,IT,,,,
,1884,1968,,,手ニューロン,,チャールズ・グロス,科学,,,,
,520,1970,,,部落解放正常化全国連絡会議,共産党系,,日本　差別　水平社運動,,,,
,1647,1970,,,友好関係原則宣言,武力行使を伴う復仇を禁止,,安全保障,,,,
,1685,1971,,,ニクソン・ショック,ドル金交換停止,,金融,,,,
,521,1972,,,日中共同声明,,,日本　中国,中学,,,
,1686,1972,,,シカゴ取引所で通貨の先物取引開始,,,金融,,,,
,522,1973,,,ワイン格付け,ムートン第１級に,,フランス　ワイン,,,,
,1388,1973,,,チリの軍司クーデター,,ピノチェト将軍,,,,,
,1879,1973,,,モルニネの受容体発見,,パート女史,科学,,,,
,1974,1973,,,EC加盟が９ヵ国に,,,ヨーロッパ,,,,
,1387,1974,,,電源三法交付金,,田中角栄,日本,,,,
,1595,1974,,,イギリスと日本の10年物国債の利回りがピークに,,,日本　イギリス　経済,,,,
,1648,1974,,,国連総会決議「侵略の定義」,,,安全保障,,,,
,523,1975,,,レバノン内戦（～1991）,,,中東　レバノン,,,,
,524,1976,,,キングストン協定,,,金融,,,,
,587,1976,,,アップル創業,,,技術,,,,
,691,1976,,,ソ連軍兵士がミグで亡命,,,日本　ロシア,,,,
,525,1977,,,総選挙でリクード勝利,,,中東　イスラエル,,,,
,526,1978,,,日中平和友好条約,,,日本　中国,中学,,,
,527,1978,,,A級戦犯合祀,,,靖国,,,,
,1391,1978,,,鄧小平の改革開放,,,中国,,,,
,1656,1978,,,いわゆるＡ級戦犯合祀,,,日本,,,,
,1665,1978,,,政府統一見解「首相の靖国神社参拝は私的参拝」,,,日本,,,,
見えない世界戦争,1891,1978,,,FIS法,,,安全保障　アメリカ,,,,
,649,1979,,,モラルマジョリティ,,ジェリー・ファルウェル,アメリカ　宗教　キリスト教,,,,
,1389,1979,,,サッチャー首相,,,イギリス,,,,
,1867,1979,,,中国のベトナム侵攻,,,,,,,
,528,1980,,,「選択の自由」,,ミルトン・フリードマン,経済,,,,
,707,1980,,,DSM－Ⅲ,,,精神医学,,,,
,704,1981,,,学習障害をアメリカ合衆国連邦委員会が定義,,,精神医学,,,,
,1390,1981,,,レーガン大統領,,,アメリカ,,,,
,1865,1981,,,サダト暗殺,ムスリム同胞団,,,,,,
,529,1982,,,イスラエルのベイルート侵攻,,,中東　レバノン　イスラエル,,,,
,675,1982,,,フォークランド紛争,マルビナス諸島,,イギリス　アルゼンチン,,,,
,1866,1982,,,ハマ市でムスリム同胞団が蜂起,,,,,,,
,1599,1983,,,WTI市場を創設,石油先物,,アメリカ　経済,,,,
,1873,1984,,,コンチネンタル・イリノイ銀行の危機,,,アメリカ,,,,
,530,1986,,,自由同和会,,,日本　差別,,,,
,531,1987,,,SN1987A,,,科学　宇宙　天文,,,,
,532,1988,,,PLOがイスラエルの生存権を事実上認める,,アラファト,中東,,,,
,533,1988,,,ヨルダンのフセイン国王が西岸をPLOにと発表,,フセイン国王　アラファト,中東　パレスチナ　ヨルダン,,,,
,534,1989,6月,,天安門事件,2月にブッシュ大統領訪中,,中国,,,,
,650,1989,,,クリスチャン・コアリション,,パット・ロバートソン,アメリカ　宗教　キリスト教,,,,
,1688,1990,10月3日,,ドイツ統一,,,ドイツ,,,,
,1689,1991,12月,,ソ連邦消滅,,,,,,,
,535,1992,,,領海法（中国）,第一列島線の内側は中国領,,中国　安全保障,,,,
,1976,1992,2月,,マーストリヒト条約,EU設立条約,,経済　政治　ヨーロッパ,,,,
